Address,Label
809 BRADFIELD DR,S18039168
2817 SANDERS DR,N18217126
2140 N JUPITER RD,C18010777
2140 N JUPITER RD,C18010546
3333 BLUFFVIEW DR,S18039164
3317 WESTERN DR,N17210504
3321 WESTERN DR,S18041878
3302 W WALNUT ST,C18010545
5117 HEARTHCREST DR,N18218398
5117 HEARTHCREST DR,N18218398
5121 HEARTHCREST DR,N18218400
513 SENECA DR,N18219251
314 S YALE DR,N18219016
2713 STROTHER DR,N18220466
4909 TREE TOP LN,N18216884
4909 TREE TOP LN,N18216884
2306 WILD OAK LN,N18218574
601 N FIRST ST,C18012169
508 W AVENUE D,C18010496
508 W AVENUE D,C18010496
722 SENECA DR,N18219256
303 SOUTHWOOD DR,N18216603
1512 CLEAR POINT DR,N18220248
1512 CLEAR POINT DR,N18220248
1410 HIAWATHA WY,N18213955
1714 ETON PL,S18042333
1306 GLENVILLE DR,N18223910
1306 GLENVILLE DR,N18223910
3018 SHENANDOAH DR,S18040179
1210 GARDENGATE CIR,N18217101
1210 GARDENGATE CIR,N18217101
2310 MATTERHORN DR,S18041911
806 COURTENAY PL,S18039200
120 S JUPITER RD,M18003492
1520 W KINGSLEY RD,M18003742
914 LESA LN,N18221876
1109 BOBBIE LN,N17210994
2501 LAKEWOOD DR,S18041107
2506 MAPLE DR,N18217610
2506 MAPLE DR,N18217610
3306 W WALNUT ST,C18013519
424 GATEWOOD RD,M18003421
2406 WEST WAY AVE,N18229812
2133 JOHN SHARP CIR,N18218522
922 SHORECREST DR,S18041745
1726 MELROSE ST,S18041917
2805 CHARIOT LN,N18220193
2805 CHARIOT LN,N18223501
1113 QUEBEC DR,N18219253
1604 FREMONT DR,N18216537
2018 SWORD DR,N18218200
3609 BOBBIE LN,N18222111
5909 GALAXIE RD,N18221405
3705 CRESTVIEW DR,N18222108
3001 LONGBOW DR,S18041763
3101 LONGBOW DR,N18221182
2002 SWORD DR,N18218194
2206 LANCECREST DR,N18217857
2513 MEADOW LN,N18216880
"Per complainant owner is keeping it for honey""",10/24/2018 5:00
2218 COUNTRY VALLEY RD,N18221886
210 S BULLOCK DR,S18041328
1101 QUAIL HOLLOW DR,N18218149
3005 JEREMES LANDING,N18218165
2902 ROYALTY DR,N18218807
2914 LANCER LN,N18220509
2822 LANCER LN,N18220500
539 HELEN ST,N18215789
3106 ROYAL COACH WY,N18221363
3106 ROYAL COACH WY,N18223498
3106 ROYAL COACH WY,N18223498
3230 ROYAL COACH WY,N18223497
5806 JESTER DR,N18220739
1233 STONEWALL ST,N18218114
340 VALLEY PARK DR,S18040240
5405 GALAXIE RD,N18221137
2845 S COUNTRY CLUB RD,N18223000
2845 S COUNTRY CLUB RD,N18223000
1537 PALM VALLEY DR,S18041204
1517 PALM VALLEY DR,N18217945
1626 MERRIMAC TRL,N18214092
2233 HUSKEY ST,S18040786
3005 HOLM DR,S18041914
1308 CUERO DR,S18040912
1308 CUERO DR,S18040913
3109 GALAXIE RD,S18039489
1505 HILLTOP DR,S18043193
1505 HILLTOP DR,S18043193
1605 MERRIMAC TRL,S18040515
1605 MERRIMAC TRL,S18040831
1605 MERRIMAC TRL,S18040831
640 N FOURTH ST,N18216161
410 S FIRST ST,C18010498
410 S FIRST ST,C18010498
410 S FIRST ST,C18010498
410 S FIRST ST,C18010498
410 S FIRST ST,C18010498
410 S FIRST ST,C18010498
410 S FIRST ST,C18010498
302 EVELYN DR,S18041904
302 EVELYN DR,S18041904
208 E AVENUE D,N18215664
208 E AVENUE D,N18215664
621 N FOURTH ST,N18222112
2355 FOREST LN,C18010510
2355 FOREST LN,C18010510
213 LIPSCOMB ST,N18229779
209 LIPSCOMB ST,N18229778
205 LIPSCOMB ST,N18215622
205 LIPSCOMB ST,N18215622
205 LIPSCOMB ST,N18229777
608 FORD ST,N18215667
2114 MEREDITH LN,S18041187
612 FORD ST,S18040798
238 S BARNES DR,M18003743
2709 COUNTRY VALLEY RD,N18219745
1810 EASTERN HILLS DR,N18217509
1308 GREENWOOD DR,S18039530
224 CARMEN DR,N18216169
2100 S FIFTH ST,N18221883
316 E MILLER RD,N18207731
1826 EASTERN HILLS DR,N18217516
1826 EASTERN HILLS DR,N18217516
110 W MARGUERITA DR,S18040053
1714 IROQUOIS DR,N18214035
1714 IROQUOIS DR,N18214035
102 E BUCKINGHAM RD,C18012174
2510 W WALNUT ST,C18010417
3601 LARIAT LN,N18216569
1905 FREMONT DR,N18216534
11611 LBJ FRWY,C18011047
1833 FREMONT DR,N18216535
1910 ROLANDO DR,N18222463
1910 ROLANDO DR,N18222463
1725 CRESTRIDGE DR,N18219086
6226 BROADWAY BLVD,C18010502
"Sprint""",
1953 TIMBER OAKS DR,S18042977
1953 TIMBER OAKS DR,S18042977
2713 SILVERDALE LN,N18228457
3171 N GEORGE BUSH HWY,C18010412
3001 N GEORGE BUSH HWY,C18010413
3450 WAGON WHEEL RD,C18010418
1212 W BUCKINGHAM RD,C18010766
2205 SWORD DR,S18041225
2201 MILLAY BLVD,C18010325
4771 SATURN RD,C18009213
4771 SATURN RD,C18009213
7217 TELECOM PKWY,C18013517
2326 KNIGHTHOOD LN,N18217925
2913 FLAGSTONE DR,S18039399
2702 LANDERSHIRE LN,S18040006
2101 MILLAY BLVD,C18008704
2101 MILLAY BLVD,C18008704
1142 PYRAMID DR,S18040153
